kampId,side,rowIndex,role,number,name,born,status
35312,AWAY,9,,41,Philip Monin-Vangaa,,closed
35312,AWAY,10,,44,Nikolaj Brixager,,closed
35312,AWAY,11,,55,David Mathiasen,,closed
35312,AWAY,12,,56,Jonas Kahn Prætorius Jørgensen,,closed
35312,AWAY,13,,66,Jonas Mønsted,,closed
35312,AWAY,14,,68,Malthe Winther,,closed
35312,AWAY,15,,74,Nicholas Maccabe,,closed
35312,AWAY,16,,75,Mark Bertram,,closed
35312,AWAY,17,,87,Milan Adam,,closed
35312,AWAY,18,,90,Nicolai Børner,,closed
35312,AWAY,19,,98,Mathias Mortensen,,closed
35955,HOME,0,,7,Mads Sanderhoff,,closed
35955,HOME,1,,14,Frederik Sanderhoff,,closed
35955,HOME,2,,15,Mathias Olesen,,closed
35955,HOME,3,,19,Jonas Sønderby,,closed
35955,HOME,4,,27,Aleksander Nørgaard,,closed
35955,HOME,5,,31,Malte Borup,,closed
35955,HOME,6,,33,Nicklas Sørensen Olesen,,closed
35955,HOME,7,,36,Noa Læsø,,closed
35955,HOME,8,,44,Nicklaes André,,closed
35955,HOME,9,,56,Gustav Kibsdal,,closed
35955,HOME,10,,63,Kevin Linnerup,,closed
35955,HOME,11,,64,Mads Bundgaard Poulsen,,closed
35955,HOME,12,,71,Malthe Saaby Hjelm,,closed
35955,HOME,13,,77,Oliver Laurits Bisgaard Vestermann,,closed
35955,HOME,14,,88,Rasmus Høegh Mortensen,,closed
35955,HOME,15,,89,Gustav Hviid,,closed
35955,HOME,16,,92,Thais Olesen Sørensen,,closed
35955,AWAY,0,,1,Mathias Holm Mikkelsen,,closed
35955,AWAY,1,,5,Kristoffer Handgaard,,closed
35955,AWAY,2,,7,Simon Møller,,closed
35955,AWAY,3,,9,Simon Lauridsen,,closed
35955,AWAY,4,,14,Mathias Lauridsen,,closed
35955,AWAY,5,,15,Andre Van Enckevort,,closed
35955,AWAY,6,,17,Johan Selleby,,closed
35955,AWAY,7,,23,Kristian Gadegaard,,closed
35955,AWAY,8,,24,Mikkel Falsig,,closed
35955,AWAY,9,,25,Jonas Højmark,,closed
35955,AWAY,10,,27,Nicholas Holm Mikkelsen,,closed
35955,AWAY,11,,37,Frederik Kjelgaard,,closed
35955,AWAY,12,,47,Daniel Ravn,,closed
35955,AWAY,13,,65,Joel Von Reis,,closed
35955,AWAY,14,,70,Viktor Nielsen,,closed
35955,AWAY,15,,74,Jeppe Kjærsgaard,,closed
35955,AWAY,16,,77,Mikkel Skov Nielsen,,closed
35955,AWAY,17,,88,Magnus Kristensen,,closed
35955,AWAY,18,,93,Søren Olesen,,closed
35955,AWAY,19,,97,Morten Handgaard,,closed
35959,HOME,0,,7,Mads Sanderhoff,,closed
35959,HOME,1,,11,Nicolai Højen Bertelsen,,closed
35959,HOME,2,,11,Nicolai Højen Bertelsen,,closed
35959,HOME,3,,15,Mathias Olesen,,closed
35959,HOME,4,,19,Jonas Sønderby,,closed
35959,HOME,5,,33,Nicklas Sørensen Olesen,,closed
35959,HOME,6,,36,Noa Læsø,,closed
35959,HOME,7,,44,Nicklaes André,,closed
35959,HOME,8,,56,Gustav Kibsdal,,closed
35959,HOME,9,,63,Kevin Linnerup,,closed
35959,HOME,10,,64,Mads Bundgaard Poulsen,,closed
35959,HOME,11,,71,Malthe Saaby Hjelm,,closed
35959,HOME,12,,71,Malthe Saaby Hjelm,,closed
35959,HOME,13,,75,Oliver Frost,,closed
35959,HOME,14,,77,Oliver Laurits Bisgaard Vestermann,,closed
35959,HOME,15,,88,Rasmus Høegh Mortensen,,closed
35959,HOME,16,,92,Thais Olesen Sørensen,,closed
35959,AWAY,0,,2,Jeppe Viberg,,closed
35959,AWAY,1,,6,Jonas Emil Kristensen,,closed
35959,AWAY,2,,7,Jonas Palner Jensen,,closed
35959,AWAY,3,,8,Vinoth Sivapalan,,closed
35959,AWAY,4,,9,Victor Overholt,,closed
35959,AWAY,5,,10,Emil Brouer Enevoldsen,,closed
35959,AWAY,6,,15,Oskar Bendsen,,closed
35959,AWAY,7,,16,Nicklas Hedemand,,closed
35959,AWAY,8,,17,Simon Lysdahl Sørensen,,closed
35959,AWAY,9,,21,Patrik Melis,,closed
35959,AWAY,10,,22,Andreas Krogh Bendixen,,closed
35959,AWAY,11,,23,Christoffer Ray Klindtworth,,closed
35959,AWAY,12,,25,Gustav Johannes Chatterton,,closed
35959,AWAY,13,,30,Anton Bendsen,,closed
35959,AWAY,14,,66,Patrick Melis,,closed
35959,AWAY,15,,88,Vitus Kuskegaard,,closed
35313,HOME,0,,2,Jakob Ohlsson,,closed
35313,HOME,1,,3,Jon Precht-Sparre,,closed
35313,HOME,2,,8,Patrick Falkenberg Møller,,closed
35313,HOME,3,,15,Jacob Hansen,,closed
35313,HOME,4,,16,Rasmus Bømervang,,closed
35313,HOME,5,,17,Jannik L. Dalkvist,,closed
35313,HOME,6,,19,Oliver Ruud,,closed
35313,HOME,7,,24,Jonas Hvid Nielsen,,closed
35313,HOME,8,,28,Victor Toftebjerg,,closed
35313,HOME,9,,31,Mathias S. Madsen,,closed
35313,HOME,10,,53,August Lunddahl Mathiassen,,closed
35313,HOME,11,,77,Andreas Kleczewski,,closed
35313,HOME,12,,79,Jacob Stenkilde,,closed
35313,HOME,13,,81,Otto Kjeld Bjørklund Jørgensen,,closed
35313,HOME,14,,87,Oliver Madsen,,closed
35313,HOME,15,,89,Rasmus Schjerlund Nielsen,,closed
35313,AWAY,0,,1,Rasmus Børger Petersen,,closed
35313,AWAY,1,,3,Charlie Petersen,,closed
35313,AWAY,2,,4,Tobias Børger Petersen,,closed
35313,AWAY,3,,14,Josef Adnan,,closed
35313,AWAY,4,,17,Jonathan Stausholm Carlsen,,closed
35313,AWAY,5,,20,Noel Donde,,closed
35313,AWAY,6,,22,Christian Holmsteen,,closed
35313,AWAY,7,,23,Tobias Alexander Jensen,,closed
35313,AWAY,8,,27,Villads Bech Crawfurd,,closed
35313,AWAY,9,,31,Kasper Abildgaard,,closed
35313,AWAY,10,,41,Rasmus Lilleballe Poulsen,,closed
35313,AWAY,11,,42,Magnus Bidstrup-Mynster,,closed
35313,AWAY,12,,50,Mikkel Riis,,closed
35313,AWAY,13,,63,Kalle Tamminen,,closed
35313,AWAY,14,,69,Elias Ford Holmberg,,closed
35313,AWAY,15,,77,Victor Holmsteen,,closed
35313,AWAY,16,,88,Bertram Carlsen,,closed
35313,AWAY,17,,97,Rasmus Engelhardt Frie,,closed
35314,HOME,0,,7,Jannick Strikert,,closed
35314,HOME,1,,13,Michael Møller,,closed
35314,HOME,2,,28,Ole Tougaard,,closed
35314,HOME,3,,29,Thomas Hvims,,closed
35314,HOME,4,,44,Philippe Nielsen,,closed
35314,HOME,5,,49,Kristian Kirk,,closed
35314,HOME,6,,59,Kim Thobiassen,,closed
35314,HOME,7,,70,Johan Hagne,,closed
35314,HOME,8,,71,Ondrej Ceska,,closed
35314,HOME,9,,81,Jesper Schow,,closed
35314,HOME,10,,92,Emil Andersson,,closed
35314,HOME,11,,97,Mads Voldum,,closed
35314,AWAY,0,,4,Jeppe Huscher Andersen,,closed
35314,AWAY,1,,5,Elias Suensen,,closed
35314,AWAY,2,,6,Rasmus Rask Kjær Poulsen,,closed
35314,AWAY,3,,8,Noah Vilsted,,closed
35314,AWAY,4,,11,Zimon Peters,,closed
35314,AWAY,5,,24,Mikkel Benjamin Christensen,,closed
35314,AWAY,6,,32,Jonas Gylling,,closed
35314,AWAY,7,,40,David Mathiasen,,closed
35314,AWAY,8,,40,Mathias Vestergaard,,closed
35314,AWAY,9,,41,Philip Monin-Vangaa,,closed
35314,AWAY,10,,44,Nikolaj Brixager,,closed
35314,AWAY,11,,55,Malthe Kjær,,closed
35314,AWAY,12,,56,Jonas Kahn Prætorius Jørgensen,,closed
35314,AWAY,13,,66,Jonas Mønsted,,closed
35314,AWAY,14,,68,Malthe Winther,,closed
35314,AWAY,15,,74,Nicholas Maccabe,,closed
35314,AWAY,16,,75,Mark Bertram,,closed
35314,AWAY,17,,87,Milan Adam,,closed
35314,AWAY,18,,90,Nicolai Børner,,closed
35314,AWAY,19,,98,Mathias Mortensen,,closed
35963,HOME,0,,7,Mads Sanderhoff,,closed
35963,HOME,1,,11,Nicolai Højen Bertelsen,,closed
35963,HOME,2,,14,Frederik Sanderhoff,,closed
35963,HOME,3,,15,Mathias Olesen,,closed
35963,HOME,4,,19,Jonas Sønderby,,closed
35963,HOME,5,,24,William Aabel,,closed
35963,HOME,6,,27,Aleksander Nørgaard,,closed
35963,HOME,7,,31,Malte Borup,,closed
35963,HOME,8,,33,Nicklas Sørensen Olesen,,closed
35963,HOME,9,,36,Noa Læsø,,closed
35963,HOME,10,,44,Nicklaes André,,closed
35963,HOME,11,,63,Kevin Linnerup,,closed
35963,HOME,12,,64,Mads Bundgaard Poulsen,,closed
