KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29510,1,Goal,81,Jesper Schow,1358
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29510,0,Assist,66,Jeppe Trier,1358
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29508,1,Goal,27,Alexander Tritsaris,1409
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29508,0,Assist,13,Viktor Heinrichas,1409
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29508,201,Penalty,2,Søren Jønsson,1630
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29508,1,Goal,2,Søren Jønsson,1789
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29510,201,Penalty,14,Thomas Hviid,1980
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29508,222,Penalty,89,Kristers Kuznecovs,2119
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,2,29510,220,Penalty,59,Kim Thobiassen,2323
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29508,0,Assist,18,Julius Kjærgaard,2440
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29508,1,Goal,2,Søren Jønsson,2440
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29508,1,Goal,10,Jakub Lyskawa,2880
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29510,0,Assist,97,Mads Voldum,2903
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29510,1,Goal,92,Emil Andersson,2903
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29508,1,Goal,18,Julius Kjærgaard,2932
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29510,0,Time-Out,,,3155
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,3,29508,1,Goal,18,Julius Kjærgaard,3577
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,1,29512,1,Goal,8,Patrick Falkenberg Møller,106
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,1,29512,0,Assist,28,Victor Toftebjerg,106
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,1,29511,0,Assist,19,Anders Grønborg,736
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,1,29511,1,Goal,7,Rasmus Madsen,736
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,1,29511,208,Penalty,12,Jannik Trolle,777
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,2,29511,1,Goal,92,Frederik Kobberup,1391
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,2,29511,0,Assist,25,Marko W. Krogsgaard,1391
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,2,29511,1,Goal,2,Mathias Fischer Hoerby Jensen,1443
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,2,29512,212,Penalty,17,Jannik L. Dalkvist,1960
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29511,1,Goal,4,Lucas Madsen,2458
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29511,1,Goal,45,Jonas Nordheim,2729
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29511,0,Assist,92,Frederik Kobberup,2729
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29512,0,Time-Out,,,2729
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29511,207,Penalty,25,Marko W. Krogsgaard,3073
40000938,Hvidovre Attack - Rødovre FC,44814,35308,20222023,Grundspil,3,29512,201,Penalty,28,Victor Toftebjerg,3486
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,1,29509,0,Assist,2,Simon Lehnert,784
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,1,29509,1,Goal,7,Niclas,784
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,0,Assist,2,Simon Lehnert,1450
